id, label
132,1
96,0
46,0
87,1
85,4
127,1
97,1
123,2
83,2
110,4
66,0
52,1
27,1
134,3
77,1
57,1
37,1
125,4
23,2
56,0
86,0
12,1
142,1
67,1
120,4
28,2
80,4
145,4
42,1
5,4
33,2
135,4
144,3
68,2
17,1
124,3
11,0
114,3
147,1
102,1
1,0
111,0
65,4
45,4
98,2
29,3
41,0
105,4
26,0
24,3
109,3
40,4
152,1
99,3
151,0
137,1
48,2
112,1
62,1
74,3
34,3
149,3
126,0
63,2
106,0
95,4
54,3
6,0
128,2
115,4
50,4
36,0
81,0
78,2
35,4
47,1
8,2
44,3
71,0
113,2
92,1
84,3
140,4
141,0
90,4
9,3
14,3
60,4
133,2
4,3
18,2
39,3
73,2
136,0
7,1
129,3
101,0
3,2
121,0
64,3
116,0
55,4
108,2
51,0
153,2
59,3
49,3
89,3
22,1
58,2
150,4
130,4
38,2
146,0
2,1
53,2
131,0
104,3
100,4
117,1
88,2
75,4
122,1
155,4
21,0
72,1
107,1
15,4
93,2
103,2
