id,created_at,value
0FVE7NZ9VZJ5RN0JRCVXAHA6QZ,2025-04-02T04:22:46Z,59.5
0FVE7NW5RZQ7AH7S0D7S42RYH5,2025-04-02T04:22:36Z,59.4
0FVE7NS3W9YXRYRSVXK6C2XN48,2025-04-02T04:22:26Z,59.2
0FVE7NP0V9KJZK8PYQCV6J56P6,2025-04-02T04:22:16Z,59.1
0FVE7NJXQ4YN1Z0ZP2WGXCTZC1,2025-04-02T04:22:05Z,59.1
0FVE7NFTRAGHSMG4J9SFW47PXB,2025-04-02T04:21:55Z,59.3
0FVE7NCQS3HNS9QW4999X3M8H2,2025-04-02T04:21:45Z,59.2
0FVE7N9MQ66QEMCP5WC5Y8Y00H,2025-04-02T04:21:35Z,59.8
0FVE7N6HQ45JE6FMQ2MW7M73ME,2025-04-02T04:21:25Z,60.1
0FVE7N3ES9YNVQC8TFJQMMDYN0,2025-04-02T04:21:15Z,60.4
0FVE7N0BSPY7GN93M6133W5AKB,2025-04-02T04:21:05Z,60.1
0FVE7MX8Q9F137NZ0KE54WSP9A,2025-04-02T04:20:54Z,59.6
0FVE7MT5Q6DJTB5H92SDK8HC3P,2025-04-02T04:20:44Z,59.7
0FVE7MQ3VFX1EBRHZZNV2W3H0X,2025-04-02T04:20:34Z,60.4
0FVE7MKZV2NYK805FE7HAYSFT8,2025-04-02T04:20:24Z,59.9
0FVE7MGWVPNGZ47FDZRXN6BYYN,2025-04-02T04:20:14Z,59.5
0FVE7MDTQ2XYFBPZQH9KCP59FW,2025-04-02T04:20:04Z,59.6
0FVE7MAQR4VSY8JSAQFMERRK9E,2025-04-02T04:19:54Z,59.8
0FVE7M7MQMEJXWH1X6M44AY50C,2025-04-02T04:19:44Z,60.1
0FVE7M4HNYBYFK4W9DZMJ97Y5J,2025-04-02T04:19:33Z,60.2
0FVE7M1ENCYCP5P5KW8NKZFE31,2025-04-02T04:19:23Z,60.7
0FVE7KYBS5TAEYY5KDS7702HDH,2025-04-02T04:19:13Z,60.4
0FVE7KV9MY027ZSMNE8QJM298F,2025-04-02T04:19:03Z,60.4
0FVE7KR8314S92QKY9T0HP8YXB,2025-04-02T04:18:53Z,60.5
0FVE7KN2R3KV0YG6P4TM89BFCF,2025-04-02T04:18:43Z,60.4
0FVE7KHZVR6BG8NVZX71BRDREF,2025-04-02T04:18:33Z,60.2
0FVE7KEX15156PTQAV4YMBFFF6,2025-04-02T04:18:23Z,60.1
0FVE7KBSYC8PT3GY7K54TVPXJ1,2025-04-02T04:18:12Z,59.9
0FVE7K8PPDD1570551C1VZ950H,2025-04-02T04:18:02Z,60.3
0FVE7K5MVB5GKSCF0XTQJ4H8WF,2025-04-02T04:17:52Z,60.1
0FVE7K2GRT1X1ZQAGTPD0AF8C5,2025-04-02T04:17:42Z,60.1
0FVE7JZES2Y17VDEXAZGM3SDM8,2025-04-02T04:17:32Z,60.1
0FVE7JWBVZVZWFZ8S6GMNNX05Q,2025-04-02T04:17:22Z,60.1
0FVE7JS8SJN1527NZ3E30SV88P,2025-04-02T04:17:12Z,60.2
0FVE7JP5SJ5S7TM06YK1PKY3D4,2025-04-02T04:17:02Z,60.1
0FVE7JK2QCS4BDEBXDJK9Y40G1,2025-04-02T04:16:51Z,60.4
0FVE7JFZRMH9YRA58GB6V6GX4J,2025-04-02T04:16:41Z,60.4
0FVE7JCWRTK2XPEMK7ATNR9SC7,2025-04-02T04:16:31Z,60.2
0FVE7J9SZZA7BC3VCHCBHNZ164,2025-04-02T04:16:21Z,60.4
0FVE7J6PPGZKJ7HMC1W3EBQ11Q,2025-04-02T04:16:11Z,60.9
0FVE7J3KQAJ84RD41TN1D7GEHY,2025-04-02T04:16:01Z,60.7
0FVE7J0GSR56D1T7WDMV9GRNBY,2025-04-02T04:15:51Z,60.6
0FVE7HXDQYPBPQV1HEP0PB2WR8,2025-04-02T04:15:40Z,60.7
0FVE7HTAPY82VWZ60J9DATM5DA,2025-04-02T04:15:30Z,60.8
0FVE7HQ7T8J61C58C4MPSF16GM,2025-04-02T04:15:20Z,60.6
0FVE7HM4XZSW0V5TPSSFTY4F8Y,2025-04-02T04:15:10Z,60.5
0FVE7HH1R5P7T2D97FZZS5FV83,2025-04-02T04:15:00Z,60.8
0FVE7HDYR2XGFSBNE8TMMFJF6A,2025-04-02T04:14:50Z,60.6
0FVE7HAWVPG9CFPWX0DG6KB7C3,2025-04-02T04:14:40Z,60.6
0FVE7H7RQ0CVBZH00HDXK0WH86,2025-04-02T04:14:29Z,60.4
0FVE7H4PMV9HDWE0ARZ571GPW7,2025-04-02T04:14:19Z,60.5
0FVE7H1KTV78YG2Z1ZQ6W1BVSE,2025-04-02T04:14:09Z,60.4
0FVE7GYGRXKT7R7N39ZGNWANNB,2025-04-02T04:13:59Z,60.5
0FVE7GVDRQJJ60AXEFQFD3K4WJ,2025-04-02T04:13:49Z,60.5
0FVE7GRATJJVS5AFQ16X4E8JBT,2025-04-02T04:13:39Z,60.7
0FVE7GN7P2P1AD5PSBJ0W2K507,2025-04-02T04:13:29Z,60.7
0FVE7GJ4T2KR7Q7BT72MEY4Q0F,2025-04-02T04:13:19Z,60.7
0FVE7GF1S1D4QTM4CP9R7SS3JH,2025-04-02T04:13:08Z,61.4
0FVE7GBYQ2AHFJ9H6MPQK90FDZ,2025-04-02T04:12:58Z,61.3
0FVE7G8VW50508ZCNPZQH9EJT3,2025-04-02T04:12:48Z,61.2
