id,created_at,value
0FVE7NZ9THWNQVR746CBWMAPVQ,2025-04-02T04:22:46Z,32.5
0FVE7NW5QXZ5ZTD4F9R2TJCD4M,2025-04-02T04:22:36Z,32.5
0FVE7NS3WB9ZPVS850BZ1SG9BE,2025-04-02T04:22:26Z,32.5
0FVE7NP0SXQGHBJPNDX67CFN84,2025-04-02T04:22:16Z,32.5
0FVE7NJXPWAXQR6V8Z7XC05YSR,2025-04-02T04:22:05Z,32.5
0FVE7NFTQGMC96BM9RSCM9C7TC,2025-04-02T04:21:55Z,32.5
0FVE7NCQPPJN77DXV2Z0Y3BY50,2025-04-02T04:21:45Z,32.5
0FVE7N9MQ9T4FT5DS6QQM39FCX,2025-04-02T04:21:35Z,32.6
0FVE7N6HPXTHPXYWEJ044CGGH0,2025-04-02T04:21:25Z,32.6
0FVE7N3EQS9BNP5AZXJYHJ9XTK,2025-04-02T04:21:15Z,32.5
0FVE7N0BSCS3CTXNS557JNYR2Q,2025-04-02T04:21:05Z,32.5
0FVE7MX8PHYVYECWJ8YW1TZ22C,2025-04-02T04:20:54Z,32.5
0FVE7MT5PG104GZWSHGSN5NECW,2025-04-02T04:20:44Z,32.5
0FVE7MQ3TC39QN27R3RQMP05J0,2025-04-02T04:20:34Z,32.5
0FVE7MKZV10GF1CZ9N7BBTGY8N,2025-04-02T04:20:24Z,32.5
0FVE7MGWTYP9225YEVXZ1571SR,2025-04-02T04:20:14Z,32.5
0FVE7MDTPSH6D6ZW1YEB6VM51E,2025-04-02T04:20:04Z,32.5
0FVE7MAQQ588ABXJRWQGVC18G2,2025-04-02T04:19:54Z,32.5
0FVE7M7N0G29RBEXYQM3K5GQKH,2025-04-02T04:19:44Z,32.5
0FVE7M4HNGA2TZTVFV970V21HB,2025-04-02T04:19:33Z,32.5
0FVE7M1ESPWM5G3M71QDM2NTAD,2025-04-02T04:19:23Z,32.5
0FVE7KYBS2CAZJJB4PGYP5RK61,2025-04-02T04:19:13Z,32.5
0FVE7KV9P4227E9SRJHB18WWVP,2025-04-02T04:19:03Z,32.5
0FVE7KR7ZRHZE8NAV4PTC89DM3,2025-04-02T04:18:53Z,32.5
0FVE7KN2NCS872CWTZ476HNEWS,2025-04-02T04:18:43Z,32.5
0FVE7KHZVJ7HKH7ZE8K2X3VY6C,2025-04-02T04:18:33Z,32.5
0FVE7KEWVZ7VEF8EDWMECYMPAN,2025-04-02T04:18:23Z,32.4
0FVE7KBSYAHJERV8K7H4S7Z2GB,2025-04-02T04:18:12Z,32.4
0FVE7K8PP2B2FNG6G8KX69S0EA,2025-04-02T04:18:02Z,32.4
0FVE7K5MT2QQWN8HZQS93PD7HV,2025-04-02T04:17:52Z,32.4
0FVE7K2GQYVK4X5RS5EFNT9ZGE,2025-04-02T04:17:42Z,32.4
0FVE7JZERC677P00V5Y1340HCS,2025-04-02T04:17:32Z,32.4
0FVE7JWBTYS07NF28951XD7Q4K,2025-04-02T04:17:22Z,32.4
0FVE7JS8RS658TN380J9M2GRPC,2025-04-02T04:17:12Z,32.4
0FVE7JP5RRY5HXJRDMTGGWK4K4,2025-04-02T04:17:02Z,32.4
0FVE7JK2PP4FXP28333ED6QCV3,2025-04-02T04:16:51Z,32.4
0FVE7JFZTKYRE2P8E886D79ZPP,2025-04-02T04:16:41Z,32.4
0FVE7JCWQTFA84CPHBJVM5CT09,2025-04-02T04:16:31Z,32.4
0FVE7J9SV5Y3E4HZ8EJPA0PE77,2025-04-02T04:16:21Z,32.4
0FVE7J6PPK8CXGSD83R7XQAZS7,2025-04-02T04:16:11Z,32.4
0FVE7J3KSVARZ55M8S8SSNT2XF,2025-04-02T04:16:01Z,32.4
0FVE7J0GTDMJ0AB1DWB7PS706A,2025-04-02T04:15:51Z,32.4
0FVE7HXDQ6PSMKJB0T1DFAKWVR,2025-04-02T04:15:40Z,32.4
0FVE7HTAP748480HAE0Q99DPHP,2025-04-02T04:15:30Z,32.4
0FVE7HQ7SP9FCQ15H1PB6SQ65P,2025-04-02T04:15:20Z,32.4
0FVE7HM4XG3R6HVNJS2ZBDV0YC,2025-04-02T04:15:10Z,32.4
0FVE7HH1R1X5YSD95G6288YSTB,2025-04-02T04:15:00Z,32.4
0FVE7HDYQ53B123CG9KQPQWB9H,2025-04-02T04:14:50Z,32.4
0FVE7HAWTDMG5QEQ101X8W2Y4J,2025-04-02T04:14:40Z,32.4
0FVE7H7RPNBGKQQKBYF2CXDMAJ,2025-04-02T04:14:29Z,32.4
0FVE7H4PN28QDJAHTKD2YPSZP3,2025-04-02T04:14:19Z,32.4
0FVE7H1KTCFSF26BV88ZZN1MYE,2025-04-02T04:14:09Z,32.4
0FVE7GYGS0R6FF9NAXTQGD38EB,2025-04-02T04:13:59Z,32.4
0FVE7GVDRR5ENG8XKKB049DT3A,2025-04-02T04:13:49Z,32.4
0FVE7GRAQSCD15PVVAGDPW77FT,2025-04-02T04:13:39Z,32.4
0FVE7GN7N70GZYES4H1YCECNAT,2025-04-02T04:13:29Z,32.4
0FVE7GJ4SACXGCBBCK9MYBQ4CV,2025-04-02T04:13:19Z,32.4
0FVE7GF1X9M6PZP9RHY53DY909,2025-04-02T04:13:08Z,32.4
0FVE7GBYQQVRVPCV8QHYQP3ZSP,2025-04-02T04:12:58Z,32.4
0FVE7G8VRAA31D4S3QZVSRHYVH,2025-04-02T04:12:48Z,32.4
0FVE7G5RPNJ3CZHRF9WMNWGHG1,2025-04-02T04:12:38Z,32.4
0FVE7G2NQPZXYE3A8X76F5HCDK,2025-04-02T04:12:28Z,32.4
0FVE7FZJR6V4EF7J32M3X3BC64,2025-04-02T04:12:18Z,32.4
0FVE7FWFQRCCS006B98ZEBN5FQ,2025-04-02T04:12:08Z,32.4
0FVE7FSCP80K5BX1C068RG623P,2025-04-02T04:11:57Z,32.4
0FVE7FPAP3YZK6CKRBC3FZD739,2025-04-02T04:11:47Z,32.4
0FVE7FK6PQ4E82VBP6SWZ9AK45,2025-04-02T04:11:37Z,32.4
0FVE7FG3V1X0VQCK56G68CGFXA,2025-04-02T04:11:27Z,32.4
0FVE7FD1S0Z6P0XMTFW79F90TF,2025-04-02T04:11:17Z,32.4
0FVE7F9YPD6EA7WDHGFRRWSFSX,2025-04-02T04:11:07Z,32.4
0FVE7F6VNWA79KNSPD38KG361A,2025-04-02T04:10:57Z,32.3
0FVE7F3RNYWHNF2W1586Z10DGG,2025-04-02T04:10:47Z,32.3
0FVE7F0NP3742KZRGFXKYGW5RA,2025-04-02T04:10:36Z,32.3
0FVE7EXJT4DF6SMCJW3T9RMCBJ,2025-04-02T04:10:26Z,32.3
0FVE7ETFP1K6SDNB8JXJFHMY35,2025-04-02T04:10:16Z,32.3
0FVE7EQCQ120GZMA21X8FB8YFN,2025-04-02T04:10:06Z,32.3
0FVE7EM9R6PD9G8TKXRSNCN8PG,2025-04-02T04:09:56Z,32.3
0FVE7EH5Q4FSQF5DAD1DT4MQVQ,2025-04-02T04:09:46Z,32.2
0FVE7EE3ZBJ1K7B3V66JTQPVG3,2025-04-02T04:09:36Z,32.2
0FVE7EB0Y9F3DBH1DXF37YZAMH,2025-04-02T04:09:26Z,32.2
0FVE7E7XNWTN52X37JMWCB3REW,2025-04-02T04:09:15Z,32.2
